term,pop,exposure_prob,n_per_hhold,est_mean,se_mean,est_sd,nsim
beta_logTitre,general,1,4,1.5059190532242825,0.08763857531067036,0.08722889934644242,10000
theta,exposed,0.1,1,0.0070700879185404755,0.11195083998077349,0.11298408427749172,10000
theta,exposed,0.1,4,0.007025576161091598,0.1122921220188898,0.11328752461997194,10000
theta,exposed,0.2,1,0.00311037294083944,0.07809892292722266,0.0789593049125168,10000
theta,exposed,0.2,4,0.0028243462106698307,0.07826169657089824,0.07888415083775419,10000
theta,exposed,0.30000000000000004,1,0.0033278020001803656,0.06356356562656672,0.06325476584314095,10000
theta,exposed,0.30000000000000004,4,0.002494443960676721,0.0635716283152401,0.06440349087501795,10000
theta,exposed,0.4,1,0.001681891151351643,0.05498135109350187,0.05529942651527982,10000
theta,exposed,0.4,4,0.0024208528249926977,0.054948777407195774,0.05583131700329459,10000
theta,exposed,0.5,1,0.0012292085944631277,0.04911627940022475,0.04950373200550731,10000
theta,exposed,0.5,4,0.0017702766610872736,0.0491496763695566,0.049179022633296966,10000
theta,exposed,0.6,1,7.282938239303927e-4,0.04474851001092032,0.04495692409380859,10000
theta,exposed,0.6,4,0.002117498983306263,0.04484023400867955,0.04534573677303117,10000
theta,exposed,0.7000000000000001,1,0.0013118025536650382,0.041467628865024295,0.04246222899635163,10000
theta,exposed,0.7000000000000001,4,7.455582348393387e-4,0.04143125425158714,0.042240997939629,9686
theta,exposed,0.8,1,2.931417376322177e-4,0.03873433524578335,0.038652408210416066,10000
theta,exposed,0.8,4,8.545087984001141e-4,0.038723034304120496,0.039551204259127,10000
theta,exposed,0.9,1,0.0010729914212986734,0.03649688415572844,0.037250603400996556,10000
theta,exposed,0.9,4,7.515829895822547e-4,0.03649367917541352,0.036382816220856914,10000
theta,exposed,1,1,4.982536242913634e-4,0.03462327911846471,0.0346441764258036,10000
theta,exposed,1,4,5.663160818181456e-4,0.03461833622622935,0.034452082233611105,10000
theta,exposed_meas,0.1,4,0.3159150771254567,0.12160979310218187,0.11469912468342823,10000
theta,exposed_meas,0.2,4,0.3096525707493918,0.08450913170536731,0.07982401833704628,10000
theta,exposed_meas,0.30000000000000004,4,0.3089311576533917,0.06862135945252452,0.06451518298220597,10000
theta,exposed_meas,0.4,4,0.30926876142978715,0.05929892838524285,0.05658900342094158,10000
theta,exposed_meas,0.5,4,0.3082206342700447,0.05301975973074912,0.04925245397305373,10000
theta,exposed_meas,0.6,4,0.3083313977278047,0.0483786064277388,0.04568414136478981,10000
theta,exposed_meas,0.7000000000000001,4,0.3074411141346923,0.044703417165956265,0.04229412213043928,9686
theta,exposed_meas,0.8,4,0.30729592401571626,0.04178249857262716,0.039145849750988025,10000
theta,exposed_meas,0.9,4,0.3070681224387324,0.039379855488573375,0.03647562280124918,10000
theta,exposed_meas,1,4,0.30673005048028856,0.03734731664269692,0.03459207344418071,10000
theta,general,0.1,1,-2.9419413319612073,0.0784469266908883,0.07935638871929314,10000
theta,general,0.1,4,-2.943173456438209,0.0788848822857663,0.09673219876290694,10000
theta,general,0.2,1,-2.1961195750623217,0.05646685330189396,0.057840551108051946,10000
theta,general,0.2,4,-2.197064156145765,0.05653773168592625,0.06869034280035932,10000
theta,general,0.30000000000000004,1,-1.7329197937189678,0.04742581289291383,0.04721587794356193,10000
theta,general,0.30000000000000004,4,-1.7337334273189495,0.047445297109511744,0.05753243092907736,10000
theta,general,0.4,1,-1.385120169796645,0.04241753259633791,0.04327903418152636,10000
theta,general,0.4,4,-1.3849903301048951,0.042383274792424826,0.04985297451774351,10000
theta,general,0.5,1,-1.0978859108516603,0.039284616578326256,0.039659478074828315,10000
theta,general,0.5,4,-1.097215639911777,0.039296271684955274,0.045586119822240916,10000
theta,general,0.6,1,-0.8469236080014477,0.03715506737482129,0.037215367012962464,10000
theta,general,0.6,4,-0.846694541652856,0.03720907138227109,0.042717739810743886,10000
theta,general,0.7000000000000001,1,-0.6182978344817069,0.035861321820786295,0.038050736636799865,10000
theta,general,0.7000000000000001,4,-0.6183493873166247,0.035838202105495674,0.04066715949349546,9686
theta,general,0.8,1,-0.4051278290443116,0.035020791070265546,0.03493256840216557,10000
theta,general,0.8,4,-0.40483847327445344,0.035011904420801564,0.03818712092096168,10000
theta,general,0.9,1,-0.19963902686817436,0.034620851344424095,0.034962230731300836,10000
theta,general,0.9,4,-0.19985443213842743,0.03462125298954815,0.03619025821018638,10000
theta,general,1,1,4.982536242913634e-4,0.03462327911846471,0.0346441764258036,10000
theta,general,1,4,5.663160818181456e-4,0.03461833622622935,0.034452082233611105,10000
